codigo_siniestro,codigo_persona,anio,fecha,hora,franja_horaria,provincia,distrito,tipo_persona,gravedad,lugar_defuncion,lugar_atencion_lesionado,sexo,edad,vehiculo,clase_siniestro,red_vial,tipo_via,zona,zonificacion,caracteristicas_via,superficie_calzada
A-2023-12-102,P-2023-12-102-1-3,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,FEMENINO,30,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-4,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,35,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-5,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,LESIONADO,,,NO INDICA,,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-6,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,LESIONADO,,,NO INDICA,,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-7,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,LESIONADO,,,NO INDICA,,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-8,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,LESIONADO,,,NO INDICA,,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-102,P-2023-12-102-1-9,2023,2023-12-14,06:30,MANANA (06-11),LIMA,LURIN,PASAJERO,LESIONADO,,,NO INDICA,,CAMIONETA RURAL,DESPISTE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-104,P-2023-12-104-1-1,2023,2023-12-17,07:00,MANANA (06-11),LIMA,SAN JUAN DE LURIGANCHO,CONDUCTOR,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,30,MOTOCICLETA,DESPISTE,URBANO,AUTOPISTA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-105,P-2023-12-105-1-1,2023,2023-12-18,08:30,MANANA (06-11),LIMA,LIMA,CONDUCTOR,ILESO,,,MASCULINO,44,AUTOMÓVIL,CHOQUE,URBANO,JIRÓN,URBANA,RESIDENCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-105,P-2023-12-105-1-2,2023,2023-12-18,08:30,MANANA (06-11),LIMA,LIMA,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,84,AUTOMÓVIL,CHOQUE,URBANO,JIRÓN,URBANA,RESIDENCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-105,P-2023-12-105-2-1,2023,2023-12-18,08:30,MANANA (06-11),LIMA,LIMA,CONDUCTOR,ILESO,,,MASCULINO,48,AUTOMÓVIL,CHOQUE,URBANO,JIRÓN,URBANA,RESIDENCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-105,P-2023-12-105-2-2,2023,2023-12-18,08:30,MANANA (06-11),LIMA,LIMA,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,FEMENINO,73,AUTOMÓVIL,CHOQUE,URBANO,JIRÓN,URBANA,RESIDENCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-107,P-2023-12-107-1-1,2023,2023-12-18,16:00,TARDE (12-17),LIMA,PUEBLO LIBRE,CONDUCTOR,ILESO,,,MASCULINO,60,CAMIÓN,CHOQUE,URBANO,AVENIDA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-107,P-2023-12-107-2-1,2023,2023-12-18,16:00,TARDE (12-17),LIMA,PUEBLO LIBRE,CONDUCTOR,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,47,BICICLETA,CHOQUE,URBANO,AVENIDA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-106,P-2023-12-106-1-1,2023,2023-12-18,22:15,NOCHE (18-23),LIMA,SAN MARTIN DE PORRES,CONDUCTOR,ILESO,,,MASCULINO,29,MOTOCICLETA,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-106,P-2023-12-106-1-2,2023,2023-12-18,22:15,NOCHE (18-23),LIMA,SAN MARTIN DE PORRES,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,75,MOTOCICLETA,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-108,P-2023-12-108-1-1,2023,2023-12-19,18:00,NOCHE (18-23),LIMA,SAN JUAN DE MIRAFLORES,CONDUCTOR,ILESO,,,MASCULINO,34,TRIMOTO PASAJERO,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-108,P-2023-12-108-1-2,2023,2023-12-19,18:00,NOCHE (18-23),LIMA,SAN JUAN DE MIRAFLORES,PEATÓN,FALLECIDO,EN EL CENTRO DE SALUD,,MASCULINO,34,TRIMOTO PASAJERO,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-109,P-2023-12-109-1-1,2023,2023-12-22,17:45,TARDE (12-17),LIMA,LIMA,CONDUCTOR,ILESO,,,MASCULINO,56,ÓMNIBUS,ATROPELLO,URBANO,AVENIDA,URBANA,RESIDENCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-109,P-2023-12-109-1-2,2023,2023-12-22,17:45,TARDE (12-17),LIMA,LIMA,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,49,ÓMNIBUS,ATROPELLO,URBANO,AVENIDA,URBANA,RESIDENCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-110,P-2023-12-110-1-1,2023,2023-12-23,04:30,MADRUGADA (00-05),LIMA,INDEPENDENCIA,CONDUCTOR FUGADO,NO SE CONOCE,,,NO INDICA,,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,NACIONAL,CARRETERA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-110,P-2023-12-110-1-2,2023,2023-12-23,04:30,MADRUGADA (00-05),LIMA,INDEPENDENCIA,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,38,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,NACIONAL,CARRETERA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-111,P-2023-12-111-1-1,2023,2023-12-23,17:30,TARDE (12-17),LIMA,SANTA ANITA,CONDUCTOR,ILESO,,,MASCULINO,36,ÓMNIBUS,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-111,P-2023-12-111-1-2,2023,2023-12-23,17:30,TARDE (12-17),LIMA,SANTA ANITA,PEATÓN,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,71,ÓMNIBUS,ATROPELLO,URBANO,AVENIDA,URBANA,COMERCIAL,INTERSECCIÓN,ASFALTADA
A-2023-12-112,P-2023-12-112-1-1,2023,2023-12-23,22:00,NOCHE (18-23),LIMA,LURIN,CONDUCTOR,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,NO INDICA,,MOTOCICLETA,CHOQUE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-112,P-2023-12-112-2-1,2023,2023-12-23,22:00,NOCHE (18-23),LIMA,LURIN,CONDUCTOR,ILESO,,,MASCULINO,34,AUTOMÓVIL,CHOQUE,NACIONAL,CARRETERA,RURAL,INDUSTRIAL,TRAMO RECTO,ASFALTADA
A-2023-12-147,P-2023-12-147-1-1,2023,2023-12-24,02:30,MADRUGADA (00-05),CALLAO,LA PERLA,CONDUCTOR,LESIONADO,,OTRO,MASCULINO,35,MOTOCICLETA,DESPISTE,DEPARTAMENTAL,CARRETERA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-147,P-2023-12-147-1-2,2023,2023-12-24,02:30,MADRUGADA (00-05),CALLAO,LA PERLA,PASAJERO,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,25,MOTOCICLETA,DESPISTE,DEPARTAMENTAL,CARRETERA,URBANA,COMERCIAL,TRAMO RECTO,ASFALTADA
A-2023-12-113,P-2023-12-113-1-1,2023,2023-12-25,05:45,MADRUGADA (00-05),LIMA,SANTIAGO DE SURCO,CONDUCTOR,FALLECIDO,EN EL LUGAR DE LOS HECHOS,,MASCULINO,26,MOTOCICLETA,DESPISTE,URBANO,JIRÓN,URBANA,RESIDENCIAL,CURVA,ASFALTADA
A-2023-12-164,P-2023-12-164-1-1,2023,2023-12-25,14:00,TARDE (12-17),LIMA,ANCON,CONDUCTOR,LESIONADO,,CENTRO DE SALUD PÚBLICO,MASCULINO,64,AUTOMÓVIL,DESPISTE,NACIONAL,CARRETERA,RURAL,RURAL,OTRO,ASFALTADA
