codigo_siniestro,fecha,anio,hora,franja_horaria,distrito,zona,tipo_via,clase_siniestro,cantidad_fallecidos,cantidad_lesionados,n_vehiculos,vehiculo_fugado,soat_no_vigente
A-2022-07-185,2022-07-04,2022,03:50,MADRUGADA (00-05),BARRANCO,URBANA,OTRO,CHOQUE CON OBJETO FIJO,1,0,1,NO,NO
A-2022-07-184,2022-07-05,2022,05:45,MADRUGADA (00-05),CHORRILLOS,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
A-2022-07-183,2022-07-05,2022,11:00,MANANA (06-11),SAN MARTIN DE PORRES,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-07-180,2022-07-05,2022,22:45,NOCHE (18-23),RIMAC,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-07-198,2022-07-07,2022,13:58,TARDE (12-17),MIRAFLORES,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-07-179,2022-07-08,2022,05:55,MADRUGADA (00-05),MIRAFLORES,URBANA,AVENIDA,DESPISTE,1,0,1,NO,NO
A-2022-07-178,2022-07-10,2022,18:20,NOCHE (18-23),SANTA ANITA,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-07-238,2022-07-12,2022,12:30,TARDE (12-17),CALLAO,URBANA,CALLE,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-07-177,2022-07-12,2022,23:45,NOCHE (18-23),SAN MARTIN DE PORRES,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-07-176,2022-07-13,2022,04:15,MADRUGADA (00-05),SAN JUAN DE MIRAFLORES,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2022-07-175,2022-07-13,2022,17:39,TARDE (12-17),CHORRILLOS,URBANA,AVENIDA,CHOQUE FUGA,1,0,2,NO,NO
A-2022-07-172,2022-07-16,2022,14:30,TARDE (12-17),INDEPENDENCIA,URBANA,CALLE,ATROPELLO,1,0,1,NO,SI
