codigo_siniestro,codigo_persona,tipo_persona,gravedad,sexo,edad,vehiculo
A-2021-11-149,P-2021-11-149-2-1,CONDUCTOR,FALLECIDO,MASCULINO,,TRICICLO NO MOTORIZADO
A-2021-11-149,P-2021-11-149-3-1,CONDUCTOR,ILESO,MASCULINO,27,AUTOMÓVIL
A-2021-11-151,P-2021-11-151-1-1,CONDUCTOR,ILESO,MASCULINO,51,CAMIONETA PICK UP
A-2021-11-151,P-2021-11-151-2-1,CONDUCTOR,FALLECIDO,MASCULINO,20,MOTOCICLETA
A-2021-11-152,P-2021-11-152-1-1,CONDUCTOR,ILESO,MASCULINO,64,CAMIÓN
A-2021-11-152,P-2021-11-152-1-2,PASAJERO,FALLECIDO,MASCULINO,38,AUTOMÓVIL
A-2021-11-152,P-2021-11-152-2-1,CONDUCTOR,ILESO,MASCULINO,26,AUTOMÓVIL
A-2021-11-152,P-2021-11-152-2-2,PASAJERO,LESIONADO,MASCULINO,26,AUTOMÓVIL
A-2021-11-152,P-2021-11-152-2-3,PASAJERO,LESIONADO,MASCULINO,22,AUTOMÓVIL
A-2021-11-153,P-2021-11-153-1-1,CONDUCTOR,ILESO,MASCULINO,49,CAMIÓN
A-2021-11-153,P-2021-11-153-2-1,CONDUCTOR,ILESO,MASCULINO,46,CAMIONETA RURAL
A-2021-11-153,P-2021-11-153-2-2,PEATÓN,FALLECIDO,MASCULINO,34,CAMIONETA RURAL
A-2021-11-154,P-2021-11-154-1-1,CONDUCTOR,ILESO,MASCULINO,49,REMOLCADOR-SEMIREMOLQUE
A-2021-11-154,P-2021-11-154-1-2,PEATÓN,FALLECIDO,MASCULINO,,REMOLCADOR-SEMIREMOLQUE
A-2021-11-155,P-2021-11-155-1-1,CONDUCTOR,FALLECIDO,MASCULINO,29,MOTOCICLETA
A-2021-11-156,P-2021-11-156-1-1,CONDUCTOR,FALLECIDO,MASCULINO,,MOTOCICLETA
A-2021-11-156,P-2021-11-156-2-1,CONDUCTOR,ILESO,MASCULINO,34,REMOLCADOR-SEMIREMOLQUE
A-2021-11-157,P-2021-11-157-1-1,CONDUCTOR,ILESO,MASCULINO,29,CAMIÓN
A-2021-11-157,P-2021-11-157-1-2,PEATÓN,FALLECIDO,MASCULINO,27,CAMIÓN
A-2021-11-158,P-2021-11-158-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2021-11-158,P-2021-11-158-1-2,PEATÓN,FALLECIDO,MASCULINO,,VEHICULO NO IDENTIFICADO
A-2021-11-159,P-2021-11-159-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,AUTOMÓVIL
A-2021-11-159,P-2021-11-159-1-3,PEATÓN,FALLECIDO,MASCULINO,75,AUTOMÓVIL
A-2021-11-159,P-2021-11-159-2-1,CONDUCTOR,ILESO,MASCULINO,37,AUTOMÓVIL
A-2021-11-160,P-2021-11-160-1-1,CONDUCTOR,FALLECIDO,MASCULINO,23,MOTOCICLETA
A-2021-11-165,P-2021-11-165-1-1,CONDUCTOR,ILESO,MASCULINO,30,CAMIÓN
A-2021-11-165,P-2021-11-165-1-2,PASAJERO,FALLECIDO,MASCULINO,,CAMIÓN
A-2021-11-165,P-2021-11-165-1-3,PASAJERO,LESIONADO,MASCULINO,,CAMIÓN
A-2021-11-165,P-2021-11-165-2-1,CONDUCTOR,ILESO,MASCULINO,44,REMOLCADOR-SEMIREMOLQUE
A-2021-11-168,P-2021-11-168-1-1,CONDUCTOR,ILESO,MASCULINO,49,ÓMNIBUS
A-2021-11-168,P-2021-11-168-1-2,PEATÓN,FALLECIDO,MASCULINO,76,ÓMNIBUS
A-2021-11-169,P-2021-11-169-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,AUTOMÓVIL
A-2021-11-169,P-2021-11-169-1-2,PEATÓN,FALLECIDO,MASCULINO,6,AUTOMÓVIL
