"codigo_osinerg","razon_social","actividad","departamento","provincia","distrito","direccion","fecha_reporte"
"93951","LOVIDACA SAC","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","UCAYALI","CONTAMANA","CALLE VICTOR RAUL HAYA DE LA TORRE S/N MZ N° 91 LOTE 7","2026-08-08"
"94031","LARGE HUMAN GROUP SAC","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","MAYNAS","SAN JUAN BAUTISTA","PROLONGACION MOORE MZ. R LT. 8 (AV. PARTICIPACION)","2026-08-08"
"94033","ESTACION DE SERVICIOS DURVAL","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","TAHUAMANU","IÑAPARI","CARRETERA INTEROCEANICA PTO MALDONADO IÑAPARI KM. 223","2026-08-05"
"94052","ESTACION DE SERVICIOS MAX PETROLL S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","CAJAMARCA","JAEN","JAEN","CARRETERA CHAMAYA  SAN IGNACIO KM 14.5 SECTOR MONTE GRANDE","2026-08-07"
"94114","ESTACION DE SERVICIOS LA PERLA","ESTACIÓN DE SERVICIOS / GRIFOS","AREQUIPA","AREQUIPA","AREQUIPA","AV. INDEPENDENCIA NO. 869, ESQUINA CON CALLE AREVALO - URB. MUNICIPAL","2026-08-08"
"94120","COMUNIDAD CAMPESINA SAN MIGUEL DE UTCUYACU","ESTACIÓN DE SERVICIOS / GRIFOS","ANCASH","RECUAY","CATAC","CARRETERA PATIVILCA - HUARAZ KM. 533, CASERIO PARCO","2026-08-08"
"94124","SERVICENTRO PETROLEOS HUEPETUHE SOCIEDAD ANONIMA CERRADA - SERVICENTRO PETROLEOS HUEPETUHE S.A.C","ESTACIÓN DE SERVICIOS / GRIFOS","MADRE DE DIOS","MANU","HUEPETUHE","AV. HUEPETUHE SN SEGUNDA ETAPA MZA. H LOTE. 1 C.P. HUEPETUHE","2026-08-07"
"94134","SERVICENTRO ALICIA S.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","ALTO AMAZONAS","YURIMAGUAS","CARRETERA YURIMAGUAS-TARAPOTO KM 3.5","2026-08-08"
"94166","NEGOCIACIONES GOLD BLACK PERU S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","JUNIN","CONCEPCION","MATAHUASI","CARRETERA CENTRAL N° 447, BARRIO DOS DE MAYO","2026-08-06"
"94176","ESTACION EL OVALO EIRL","EE.SS con GLP y GNV","ICA","ICA","ICA","AV FERNANDO LEON DE VIVERO S/N LOTE Nº 2 PREDIO MONTERRICO","2026-08-08"
"94186","SS LORETO S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","LORETO","ALTO AMAZONAS","YURIMAGUAS","ESQUINA DE FRANCISCO BARDALEZ CON 28 DE JULIO","2026-08-08"
"94221","SARA GUTIERREZ CONDOR","ESTACIÓN DE SERVICIOS / GRIFOS","HUANUCO","AMBO","SAN RAFAEL","JR. PROGRESO N° 806","2026-08-09"
"9423","COESTI  GRANADA","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","SANTIAGO DE SURCO","AV. MARISCAL CASTILLA N° 905","2026-08-09"
"9424","KIO CAPITAL S.A.C.","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","LIMA","LIMA","CARABAYLLO","AV. TUPAC AMARU 10200  10202 (ALT. 18.5 KM. AV. TUPAC AMARU)","2026-08-09"
"94259","ESTACIONES DE SERVICIOS OCAÑA S.A.C.","ESTACIÓN DE SERVICIOS / GRIFOS","CAJAMARCA","SAN IGNACIO","SAN IGNACIO","CARRETERA JAEN - SAN IGNACIO S/N","2026-08-07"
"9426","SERVICIOS Y GRIFOS CAMARENA S.A.","ESTACIÓN DE SERVICIOS / GRIFOS","LIMA","LIMA","VILLA EL SALVADOR","SECTOR 03, GRUPO 19, MZ. M, LOTES. 1, 2, 3 Y 24","2026-08-03"
"9427","ESTACION DE SERVICIOS MY FRIEND SAC","ESTACIÓN DE SERVICIO CON GASOCENTRO DE GLP","CAJAMARCA","CAJAMARCA","CAJAMARCA","VIA EVITAMIENTO SUR N° 371 URB. LA RIVERA","2026-08-07"
"9428","MONTES BRAVO OLGA","ESTACIÓN DE SERVICIOS / GRIFOS","PUNO","MELGAR","AYAVIRI","AV. GARCILAZO N° 295","2026-08-05"
"94285","GRIFO JUAN DE DIOS I.C.R. E.I.R.L.","ESTACIÓN DE SERVICIOS / GRIFOS","ANCASH","CASMA","BUENA VISTA ALTA","CARRETERA CASMA - QUILLO KM 12, MZ. A LT. 1, CASERIO HUANCHUY, SECTOR PAREDON","2026-08-07"
