codigo_siniestro,codigo_vehiculo,departamento,provincia,distrito,situacionvehiculo,estado_modalidad,modalidad_de_transporte,elemento_transportado,ambito_servicio,posee_seguro,estado_soat,tipo_seguro,compania_seguro,posee_citv,estado_citv,vehiculo,tipo_siniestro,fecha,ano,mes,dia,hora,codigo_de_carretera,tipo_de_via
A-2023-10-132,V-2023-10-132-2,LIMA,LIMA,RIMAC,IDENTIFICADO,HABILITADO,CARGA,CARGA Y/O MERCANCÍAS,NACIONAL,SI,NO REGISTRA,SOAT,LA POSITIVA,SI,VIGENTE,REMOLCADOR-SEMIREMOLQUE,CHOQUE,29/10/2023,2023,OCTUBRE,DOMINGO,6,PE-1N,CARRETERA
A-2023-10-93,V-2023-10-93-1,LIMA,LIMA,CARABAYLLO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,PROTECTA,SI,VIGENTE,STATION WAGON,ATROPELLO,29/10/2023,2023,OCTUBRE,DOMINGO,12,NO CORRESPONDE,AVENIDA
A-2023-11-105,V-2023-11-105-1,LIMA,LIMA,LOS OLIVOS,IDENTIFICADO,HABILITADO,CARGA,CARGA Y/O MERCANCÍAS,NACIONAL,SI,VIGENTE,SOAT,INTERSEGURO,SI,VIGENTE,CAMIÓN,ATROPELLO,01/11/2023,2023,NOVIEMBRE,MIÉRCOLES,5,NO CORRESPONDE,AVENIDA
A-2023-11-106,V-2023-11-106-1,LIMA,LIMA,CHORRILLOS,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,PROTECTA,SI,VIGENTE,AUTOMÓVIL,ESPECIAL,01/11/2023,2023,NOVIEMBRE,MIÉRCOLES,19,NO CORRESPONDE,VIA EXPRESA
A-2023-11-107,V-2023-11-107-1,LIMA,LIMA,SAN MARTIN DE PORRES,IDENTIFICADO,HABILITADO,CARGA,CARGA Y/O MERCANCÍAS,NACIONAL,SI,VIGENTE,SOAT,LA POSITIVA,SI,VIGENTE,REMOLCADOR-SEMIREMOLQUE,ATROPELLO,02/11/2023,2023,NOVIEMBRE,JUEVES,4,NO CORRESPONDE,AVENIDA
A-2023-11-108,V-2023-11-108-1,LIMA,LIMA,SAN JUAN DE LURIGANCHO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,PACIFICO,SI,VIGENTE,AUTOMÓVIL,ATROPELLO,02/11/2023,2023,NOVIEMBRE,JUEVES,5,NO CORRESPONDE,AVENIDA
A-2023-11-109,V-2023-11-109-1,LIMA,LIMA,SAN BARTOLO,FUGADO,NO CORRESPONDE,NO CORRESPONDE,,,NO CORRESPONDE,NO APLICA,,,NO CORRESPONDE,NO APLICA,VEHICULO NO IDENTIFICADO,ATROPELLO FUGA,02/11/2023,2023,NOVIEMBRE,JUEVES,11,PE-1S,CARRETERA
A-2023-11-111,V-2023-11-111-1,LIMA,LIMA,SAN JUAN DE LURIGANCHO,IDENTIFICADO,HABILITADO,CARGA,CARGA Y/O MERCANCÍAS,NACIONAL,SI,VIGENTE,SOAT,INTERSEGURO,SI,VIGENTE,REMOLCADOR,CHOQUE,02/11/2023,2023,NOVIEMBRE,JUEVES,17,NO CORRESPONDE,AVENIDA
A-2023-11-111,V-2023-11-111-2,LIMA,LIMA,SAN JUAN DE LURIGANCHO,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,LA POSITIVA,NO,NO REGISTRA,MOTOCICLETA,CHOQUE,02/11/2023,2023,NOVIEMBRE,JUEVES,17,NO CORRESPONDE,AVENIDA
A-2023-11-110,V-2023-11-110-1,LIMA,LIMA,ATE,IDENTIFICADO,HABILITADO,TAXI,PERSONAS,PROVINCIAL,SI,VIGENTE,SOAT,PACIFICO,SI,VIGENTE,AUTOMÓVIL,ATROPELLO,02/11/2023,2023,NOVIEMBRE,JUEVES,19,PE-22,CARRETERA
A-2023-11-112,V-2023-11-112-1,LIMA,LIMA,RIMAC,IDENTIFICADO,NO CORRESPONDE,PARTICULAR,PERSONAS,NO SE CONOCE,SI,VIGENTE,SOAT,LA POSITIVA,NO,NO REGISTRA,MOTOCICLETA,ATROPELLO,03/11/2023,2023,NOVIEMBRE,VIERNES,3,PE-1N,CARRETERA
A-2023-11-113,V-2023-11-113-1,LIMA,LIMA,COMAS,IDENTIFICADO,HABILITADO,PUBLICO URBANO,PERSONAS,PROVINCIAL,SI,VIGENTE,SOAT,RIMAC,SI,VIGENTE,ÓMNIBUS,CHOQUE,05/11/2023,2023,NOVIEMBRE,DOMINGO,6,NO CORRESPONDE,AVENIDA
