codigo_siniestro,fecha_siniestro,hora_siniestro,clase_siniestro,cantidad_de_fallecidos,cantidad_de_lesionados,cantidad_de_vehiculos_danados,departamento,provincia,distrito,zona,tipo_de_via,red_vial,cod_carretera,coordenadas_latitud,coordenadas_longitud,condicionclimatica,zonificacion,caracteristicas_de_via,perfil_longitudinal_via,superficie_de_calzada,existe_senal_vertical,clasificacionde_la_senal_vertical_no_1,clasificacionde_la_senal_vertical_no_2,existe_senal_horizontal,causa_factor_principal,causa_especifica
A-2023-11-133,2023-11-26,00:30,ATROPELLO FUGA,1,0,,LIMA,LIMA,LURIN,URBANA,CARRETERA,NACIONAL,PE-1S,-12.297378,-76.8552,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-135,2023-11-27,17:45,ATROPELLO,1,0,,LIMA,LIMA,LOS OLIVOS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.97830745,-77.07583634,DESPEJADO,ESCOLAR,TRAMO RECTO,PLANA ,ASFALTADA,SI,PREVENTIVA (P),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-137,2023-11-27,20:20,CHOQUE,1,0,,LIMA,LIMA,CHORRILLOS,URBANA,CARRETERA,NACIONAL,PE-1S,-12.222561,-76.974531,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-136,2023-11-27,20:30,DESPISTE,1,6,,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.92831933,-77.05579317,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-134,2023-11-27,21:10,ATROPELLO FUGA,1,0,,LIMA,LIMA,PUNTA NEGRA,RURAL,CARRETERA,NACIONAL,PE-1S,-12.368539,-76.787526,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,INFORMATIVA (I),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-138,2023-11-28,04:40,ATROPELLO FUGA,1,0,,LIMA,LIMA,RIMAC,URBANA,CARRETERA,NACIONAL,PE-1N,-12.04196646,-77.01998696,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-11-150,2023-11-29,10:30,CHOQUE,1,0,,CALLAO,CALLAO,VENTANILLA,URBANA,CARRETERA,NACIONAL,PE-1N,-11.8250424,-77.1229566205,DESPEJADO,INDUSTRIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPERICIA DEL CONDUCTOR,
A-2023-12-88,2023-12-02,16:30,DESPISTE,1,0,,LIMA,LIMA,PUENTE PIEDRA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.82183549,-77.10313954,DESPEJADO,RESIDENCIAL,TRAMO RECTO,INCLINADA,TROCHA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-12-89,2023-12-02,19:20,ATROPELLO,1,0,,LIMA,LIMA,CARABAYLLO,URBANA,CARRETERA,NACIONAL,PE-20A,-11.89026193,-77.04416421,DESPEJADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-12-90,2023-12-04,00:23,DESPISTE,1,0,,LIMA,LIMA,COMAS,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.90797158,-77.04385492,DESPEJADO,ESCOLAR,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-12-91,2023-12-04,02:30,ATROPELLO,1,0,,LIMA,LIMA,LOS OLIVOS,URBANA,CARRETERA,NACIONAL,PE-1N,-11.96652,-77.067755,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,NO,,,SI,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-12-92,2023-12-04,18:30,ATROPELLO,1,0,,LIMA,LIMA,ATE,URBANA,CARRETERA,NACIONAL,PE-22,-12.006244,-76.848847,DESPEJADO,COMERCIAL,CURVA,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA
A-2023-12-146,2023-12-06,12:30,ATROPELLO,1,0,,CALLAO,CALLAO,BELLAVISTA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.0549712002599,-77.1046262993682,DESPEJADO,COMERCIAL,TRAMO RECTO,INCLINADA,ASFALTADA,NO,,,SI,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR)
