codigo_siniestro,codigo_vehiculo,codigo_persona,departamento,provincia,distrito,tipo_persona,gravedad,lugar_atencionlesionado,lugar_de_defuncion,situacionde_persona,pais_de_nacionalidad,edad,sexo,posee_licencia,estado_licencia,clase_licencia,se_sometio_a_dosaje_etilico_cualitativo,resultado_del_dosaje_etilico_cualitativo,se_sometio_a_dosaje_etilico_cuantitativo,vehiculo,fecha,ano,mes,dia,hora,clase_de_siniestro,causa,causa_especifica,tipo_de_via,codigo_de_carretera,red_vial
A-2021-08-240,V-2021-08-240-1,P-2021-08-240-1-2,LIMA,LIMA,ANCON,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,67,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,AUTOMÓVIL,18/08/2021,2021,AGOSTO,MIÉRCOLES,19,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,CARRETERA NACIONAL,PE-1N,NACIONAL
A-2021-08-242,V-2021-08-242-1,P-2021-08-242-1-1,LIMA,LIMA,ATE,CONDUCTOR,ILESO,,,IDENTIFICADO,,43,MASCULINO,,SIN LICENCIA,SIN LICENCIA,,,,OTRO,19/08/2021,2021,AGOSTO,JUEVES,13,ESPECIAL,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,CARRETERA NACIONAL,PE-22,NACIONAL
A-2021-08-242,V-2021-08-242-1,P-2021-08-242-1-2,LIMA,LIMA,ATE,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,IDENTIFICADO,PERÚ,29,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,OTRO,19/08/2021,2021,AGOSTO,JUEVES,13,ESPECIAL,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,CARRETERA NACIONAL,PE-22,NACIONAL
A-2021-08-241,V-2021-08-241-1,P-2021-08-241-1-1,LIMA,LIMA,COMAS,PEATÓN,FALLECIDO,,EN EL CENTRO DE SALUD,IDENTIFICADO,PERÚ,77,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,VEHICULO NO IDENTIFICADO,20/08/2021,2021,AGOSTO,VIERNES,21,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-243,V-2021-08-243-1,P-2021-08-243-1-1,LIMA,LIMA,CHORRILLOS,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,70,MASCULINO,NO,SIN DNI IDENTIFICADO,SIN DNI IDENTIFICADO,NO,,NO,ÓMNIBUS,21/08/2021,2021,AGOSTO,SÁBADO,23,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-243,V-2021-08-243-1,P-2021-08-243-1-2,LIMA,LIMA,CHORRILLOS,PEATÓN,FALLECIDO,,EN EL CENTRO DE SALUD,IDENTIFICADO,PERÚ,29,MASCULINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,ÓMNIBUS,21/08/2021,2021,AGOSTO,SÁBADO,23,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-244,V-2021-08-244-1,P-2021-08-244-1-1,LIMA,LIMA,SAN MARTIN DE PORRES,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,29,MASCULINO,NO,SIN DNI IDENTIFICADO,SIN DNI IDENTIFICADO,NO,,NO,MOTOCICLETA,22/08/2021,2021,AGOSTO,DOMINGO,4,VOLCADURA,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-244,V-2021-08-244-1,P-2021-08-244-1-2,LIMA,LIMA,SAN MARTIN DE PORRES,PASAJERO,FALLECIDO,,EN EL CENTRO DE SALUD,IDENTIFICADO,PERÚ,23,FEMENINO,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,MOTOCICLETA,22/08/2021,2021,AGOSTO,DOMINGO,4,VOLCADURA,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,AVENIDA,NO CORRESPONDE,URBANO
A-2021-08-245,V-2021-08-245-1,P-2021-08-245-1-1,LIMA,LIMA,SAN BARTOLO,CONDUCTOR,ILESO,,,IDENTIFICADO,PERÚ,39,MASCULINO,SI,SIN DNI IDENTIFICADO,SIN DNI IDENTIFICADO,NO,,NO,CAMIONETA RURAL,22/08/2021,2021,AGOSTO,DOMINGO,18,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,CARRETERA NACIONAL,PE-1S,NACIONAL
A-2021-08-245,V-2021-08-245-1,P-2021-08-245-1-2,LIMA,LIMA,SAN BARTOLO,PEATÓN,FALLECIDO,,EN EL LUGAR DE LOS HECHOS,NO IDENTIFICADO,,,NO INDICA,,NO CONDUCTOR,NO CONDUCTOR,NO,,NO,CAMIONETA RURAL,22/08/2021,2021,AGOSTO,DOMINGO,18,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,CARRETERA NACIONAL,PE-1S,NACIONAL
